state,district,date,ethnicity,population
Sarawak,Kuching,2020,bumi_malay,224300
Sarawak,Kuching,2020,chinese,218700
Sarawak,Kuching,2020,bumi_other,152200
Sarawak,Sibu,2020,chinese,114500
Sarawak,Miri,2020,bumi_other,113500
Sarawak,Bintulu,2020,bumi_other,104000
Sarawak,Sibu,2020,bumi_other,94900
Sarawak,Miri,2020,chinese,73700
Sarawak,Serian,2020,bumi_other,59300
Sarawak,Samarahan,2020,bumi_malay,57300
Sarawak,Miri,2020,bumi_malay,47600
Sarawak,Samarahan,2020,bumi_other,45500
Sarawak,Sri Aman,2020,bumi_other,38400
Sarawak,Bau,2020,bumi_other,38000
Sarawak,Subis,2020,bumi_other,33700
Sarawak,Bintulu,2020,chinese,33300
Sarawak,Kapit,2020,bumi_other,31900
Sarawak,Mukah,2020,bumi_other,31300
Sarawak,Asajaya,2020,bumi_malay,28700
Sarawak,Limbang,2020,bumi_other,26900
Sarawak,Tatau,2020,bumi_other,25600
Sarawak,Sibu,2020,bumi_malay,24600
Sarawak,Bintulu,2020,bumi_malay,24400
Sarawak,Tebedu,2020,bumi_other,23800
Sarawak,Samarahan,2020,chinese,23000
Sarawak,Lubok Antu,2020,bumi_other,21600
Sarawak,Kanowit,2020,bumi_other,21000
Sarawak,Betong,2020,bumi_other,19800
Sarawak,Simunjan,2020,bumi_malay,19400
Sarawak,Sarikei,2020,bumi_other,19200
Sarawak,Sebauh,2020,bumi_other,18800
Sarawak,Lawas,2020,bumi_other,18400
Sarawak,Belaga,2020,bumi_other,18400
Sarawak,Selangau,2020,bumi_other,17800
Sarawak,Pusa,2020,bumi_malay,17700
Sarawak,Telang Usan,2020,bumi_other,16900
Sarawak,Sarikei,2020,chinese,16900
Sarawak,Lundu,2020,bumi_other,16900
Sarawak,Beluru,2020,bumi_other,16800
Sarawak,Dalat,2020,bumi_other,16500
Sarawak,Daro,2020,bumi_other,16200
Sarawak,Bintulu,2020,other_noncitizen,16000
Sarawak,Saratok,2020,bumi_other,15500
Sarawak,Pakan,2020,bumi_other,15100
Sarawak,Betong,2020,bumi_malay,14800
Sarawak,Subis,2020,other_noncitizen,14700
Sarawak,Julau,2020,bumi_other,14600
Sarawak,Serian,2020,chinese,14400
Sarawak,Sri Aman,2020,bumi_malay,14100
Sarawak,Lawas,2020,bumi_malay,13800
Sarawak,Simunjan,2020,bumi_other,13500
Sarawak,Sibu,2020,other_noncitizen,13200
Sarawak,Matu,2020,bumi_other,13000
Sarawak,Miri,2020,other_noncitizen,12700
Sarawak,Marudi,2020,bumi_other,11800
Sarawak,Limbang,2020,bumi_malay,11700
Sarawak,Lundu,2020,bumi_malay,10600
Sarawak,Kuching,2020,other_noncitizen,10000
Sarawak,Serian,2020,bumi_malay,9800
Sarawak,Maradong,2020,bumi_other,9300
Sarawak,Bukit Mabong,2020,bumi_other,9100
Sarawak,Kabong,2020,bumi_malay,9000
Sarawak,Sebauh,2020,other_noncitizen,8900
Sarawak,Song,2020,bumi_other,8900
Sarawak,Bau,2020,chinese,8700
Sarawak,Kabong,2020,bumi_other,8400
Sarawak,Beluru,2020,other_noncitizen,8400
Sarawak,Maradong,2020,chinese,7400
Sarawak,Sarikei,2020,bumi_malay,7300
Sarawak,Sri Aman,2020,chinese,7300
Sarawak,Subis,2020,bumi_malay,6600
Sarawak,Tanjung Manis,2020,bumi_other,6400
Sarawak,Saratok,2020,bumi_malay,6200
Sarawak,Limbang,2020,chinese,5100
