state,district,date,ethnicity,population
Negeri Sembilan,Seremban,2022,bumi_malay,390300
Negeri Sembilan,Seremban,2022,chinese,154400
Negeri Sembilan,Seremban,2022,indian,103100
Negeri Sembilan,Jempol,2022,bumi_malay,82400
Negeri Sembilan,Port Dickson,2022,bumi_malay,67300
Negeri Sembilan,Kuala Pilah,2022,bumi_malay,54200
Negeri Sembilan,Tampin,2022,bumi_malay,51200
Negeri Sembilan,Rembau,2022,bumi_malay,38900
Negeri Sembilan,Seremban,2022,other_noncitizen,37500
Negeri Sembilan,Port Dickson,2022,chinese,31100
Negeri Sembilan,Jelebu,2022,bumi_malay,27600
Negeri Sembilan,Port Dickson,2022,indian,23000
Negeri Sembilan,Jempol,2022,chinese,21000
Negeri Sembilan,Tampin,2022,chinese,19200
Negeri Sembilan,Jempol,2022,indian,15500
Negeri Sembilan,Tampin,2022,indian,11600
Negeri Sembilan,Jelebu,2022,chinese,10200
Negeri Sembilan,Kuala Pilah,2022,chinese,9100
Negeri Sembilan,Seremban,2022,bumi_other,7700
Negeri Sembilan,Port Dickson,2022,other_noncitizen,5800
Negeri Sembilan,Tampin,2022,other_noncitizen,4600
Negeri Sembilan,Jempol,2022,other_noncitizen,4100
Negeri Sembilan,Jempol,2022,bumi_other,4100
Negeri Sembilan,Seremban,2022,other_citizen,3800
Negeri Sembilan,Rembau,2022,indian,3800
Negeri Sembilan,Jelebu,2022,bumi_other,3600
Negeri Sembilan,Kuala Pilah,2022,indian,3600
Negeri Sembilan,Jelebu,2022,other_noncitizen,2800
Negeri Sembilan,Port Dickson,2022,bumi_other,2200
Negeri Sembilan,Rembau,2022,chinese,2200
Negeri Sembilan,Tampin,2022,bumi_other,2000
Negeri Sembilan,Jelebu,2022,indian,1800
Negeri Sembilan,Kuala Pilah,2022,other_noncitizen,1700
Negeri Sembilan,Kuala Pilah,2022,bumi_other,1700
Negeri Sembilan,Rembau,2022,other_noncitizen,1700
Negeri Sembilan,Rembau,2022,bumi_other,1100
Negeri Sembilan,Port Dickson,2022,other_citizen,800
Negeri Sembilan,Jempol,2022,other_citizen,500
Negeri Sembilan,Jelebu,2022,other_citizen,200
Negeri Sembilan,Kuala Pilah,2022,other_citizen,200
Negeri Sembilan,Tampin,2022,other_citizen,200
Negeri Sembilan,Rembau,2022,other_citizen,100
