state,district,date,ethnicity,population,total_population_in_district,population_ratio_in_district
Penang,Timur Laut,2022,chinese,322100,551800,58.37
Penang,Timur Laut,2022,bumi_malay,119900,551800,21.73
Penang,Timur Laut,2022,indian,51300,551800,9.3
Penang,Timur Laut,2022,other_noncitizen,49700,551800,9.01
Penang,Timur Laut,2022,other_citizen,5300,551800,0.96
Penang,Timur Laut,2022,bumi_other,3500,551800,0.63
Penang,Seberang Perai Utara,2022,bumi_malay,206200,341500,60.38
Penang,Seberang Perai Utara,2022,chinese,95400,341500,27.94
Penang,Seberang Perai Utara,2022,indian,22500,341500,6.59
Penang,Seberang Perai Utara,2022,other_noncitizen,15400,341500,4.51
Penang,Seberang Perai Utara,2022,other_citizen,1100,341500,0.32
Penang,Seberang Perai Utara,2022,bumi_other,900,341500,0.26
Penang,Seberang Perai Tengah,2022,bumi_malay,188600,422800,44.61
Penang,Seberang Perai Tengah,2022,chinese,150100,422800,35.5
Penang,Seberang Perai Tengah,2022,other_noncitizen,42600,422800,10.08
Penang,Seberang Perai Tengah,2022,indian,37900,422800,8.96
Penang,Seberang Perai Tengah,2022,other_citizen,2300,422800,0.54
Penang,Seberang Perai Tengah,2022,bumi_other,1300,422800,0.31
Penang,Seberang Perai Selatan,2022,bumi_malay,78300,185500,42.21
Penang,Seberang Perai Selatan,2022,chinese,65500,185500,35.31
Penang,Seberang Perai Selatan,2022,indian,30100,185500,16.23
Penang,Seberang Perai Selatan,2022,other_noncitizen,10800,185500,5.82
Penang,Seberang Perai Selatan,2022,other_citizen,500,185500,0.27
Penang,Seberang Perai Selatan,2022,bumi_other,300,185500,0.16
Penang,Barat Daya,2022,bumi_malay,128400,239600,53.59
Penang,Barat Daya,2022,chinese,82100,239600,34.27
Penang,Barat Daya,2022,other_noncitizen,13500,239600,5.63
Penang,Barat Daya,2022,indian,13400,239600,5.59
Penang,Barat Daya,2022,bumi_other,1100,239600,0.46
Penang,Barat Daya,2022,other_citizen,1100,239600,0.46
