state,district,date,ethnicity,population
Melaka,Melaka Tengah,2024,bumi_malay,378500
Melaka,Alor Gajah,2024,bumi_malay,188600
Melaka,Melaka Tengah,2024,chinese,163100
Melaka,Jasin,2024,bumi_malay,117200
Melaka,Melaka Tengah,2024,other_noncitizen,56300
Melaka,Alor Gajah,2024,chinese,27600
Melaka,Alor Gajah,2024,other_noncitizen,22800
Melaka,Melaka Tengah,2024,indian,22100
Melaka,Alor Gajah,2024,indian,18300
Melaka,Jasin,2024,chinese,12800
Melaka,Jasin,2024,other_noncitizen,12700
Melaka,Jasin,2024,indian,12100
Melaka,Melaka Tengah,2024,bumi_other,6100
Melaka,Melaka Tengah,2024,other_citizen,4100
Melaka,Alor Gajah,2024,bumi_other,2600
Melaka,Jasin,2024,bumi_other,1200
Melaka,Alor Gajah,2024,other_citizen,700
Melaka,Jasin,2024,other_citizen,500
