state,district,date,ethnicity,population
Pahang,Temerloh,2024,bumi_malay,125700
Pahang,Temerloh,2024,chinese,23900
Pahang,Temerloh,2024,indian,9600
Pahang,Temerloh,2024,bumi_other,8900
Pahang,Temerloh,2024,other_noncitizen,8800
Pahang,Temerloh,2024,other_citizen,1000
Pahang,Rompin,2024,bumi_malay,75300
Pahang,Rompin,2024,bumi_other,16400
Pahang,Rompin,2024,other_noncitizen,8100
Pahang,Rompin,2024,chinese,1600
Pahang,Rompin,2024,indian,900
Pahang,Rompin,2024,other_citizen,600
Pahang,Raub,2024,bumi_malay,51600
Pahang,Raub,2024,chinese,29200
Pahang,Raub,2024,other_noncitizen,7600
Pahang,Raub,2024,bumi_other,5700
Pahang,Raub,2024,indian,5500
Pahang,Raub,2024,other_citizen,400
Pahang,Pekan,2024,bumi_malay,99800
Pahang,Pekan,2024,bumi_other,14600
Pahang,Pekan,2024,other_noncitizen,9300
Pahang,Pekan,2024,other_citizen,1800
Pahang,Pekan,2024,chinese,1400
Pahang,Pekan,2024,indian,1000
Pahang,Maran,2024,bumi_malay,104300
Pahang,Maran,2024,other_noncitizen,7400
Pahang,Maran,2024,bumi_other,3200
Pahang,Maran,2024,chinese,2800
Pahang,Maran,2024,indian,1100
Pahang,Maran,2024,other_citizen,300
Pahang,Lipis,2024,bumi_malay,68100
Pahang,Lipis,2024,bumi_other,16200
Pahang,Lipis,2024,chinese,7200
Pahang,Lipis,2024,other_noncitizen,7000
Pahang,Lipis,2024,indian,3300
Pahang,Lipis,2024,other_citizen,300
Pahang,Kuantan,2024,bumi_malay,454600
Pahang,Kuantan,2024,chinese,74600
Pahang,Kuantan,2024,other_noncitizen,18900
Pahang,Kuantan,2024,indian,14300
Pahang,Kuantan,2024,bumi_other,6100
Pahang,Kuantan,2024,other_citizen,2800
Pahang,Jerantut,2024,bumi_malay,75300
Pahang,Jerantut,2024,chinese,11000
Pahang,Jerantut,2024,other_noncitizen,6200
Pahang,Jerantut,2024,bumi_other,4100
Pahang,Jerantut,2024,indian,2700
Pahang,Jerantut,2024,other_citizen,600
Pahang,Cameron Highlands,2024,chinese,11600
Pahang,Cameron Highlands,2024,other_noncitizen,9800
Pahang,Cameron Highlands,2024,bumi_other,9500
Pahang,Cameron Highlands,2024,bumi_malay,8800
Pahang,Cameron Highlands,2024,indian,4400
Pahang,Cameron Highlands,2024,other_citizen,300
Pahang,Bera,2024,bumi_malay,56900
Pahang,Bera,2024,chinese,25300
Pahang,Bera,2024,other_noncitizen,7400
Pahang,Bera,2024,bumi_other,7000
Pahang,Bera,2024,indian,3900
Pahang,Bera,2024,other_citizen,500
Pahang,Bentong,2024,bumi_malay,64800
Pahang,Bentong,2024,chinese,30600
Pahang,Bentong,2024,other_noncitizen,11700
Pahang,Bentong,2024,indian,9200
Pahang,Bentong,2024,bumi_other,4000
Pahang,Bentong,2024,other_citizen,900
