state,district,date,ethnicity,population,total_population_in_district,population_ratio_in_district
Sarawak,Telang Usan,2024,bumi_other,16900,17400,97.13
Sarawak,Telang Usan,2024,bumi_malay,200,17400,1.15
Sarawak,Telang Usan,2024,chinese,200,17400,1.15
Sarawak,Telang Usan,2024,other_noncitizen,100,17400,0.57
Sarawak,Telang Usan,2024,indian,0,17400,0.0
Sarawak,Telang Usan,2024,other_citizen,0,17400,0.0
Sarawak,Tebedu,2024,bumi_other,24100,25700,93.77
Sarawak,Tebedu,2024,bumi_malay,600,25700,2.33
Sarawak,Tebedu,2024,chinese,500,25700,1.95
Sarawak,Tebedu,2024,other_noncitizen,500,25700,1.95
Sarawak,Tebedu,2024,indian,0,25700,0.0
Sarawak,Tebedu,2024,other_citizen,0,25700,0.0
Sarawak,Tatau,2024,bumi_other,26300,32000,82.19
Sarawak,Tatau,2024,other_noncitizen,2700,32000,8.44
Sarawak,Tatau,2024,bumi_malay,1400,32000,4.38
Sarawak,Tatau,2024,chinese,1400,32000,4.38
Sarawak,Tatau,2024,other_citizen,200,32000,0.62
Sarawak,Tatau,2024,indian,0,32000,0.0
Sarawak,Tanjung Manis,2024,bumi_other,6400,7900,81.01
Sarawak,Tanjung Manis,2024,bumi_malay,1000,7900,12.66
Sarawak,Tanjung Manis,2024,other_noncitizen,400,7900,5.06
Sarawak,Tanjung Manis,2024,chinese,100,7900,1.27
Sarawak,Tanjung Manis,2024,indian,0,7900,0.0
Sarawak,Tanjung Manis,2024,other_citizen,0,7900,0.0
Sarawak,Subis,2024,bumi_other,34200,55500,61.62
Sarawak,Subis,2024,other_noncitizen,12200,55500,21.98
Sarawak,Subis,2024,bumi_malay,6700,55500,12.07
Sarawak,Subis,2024,chinese,2000,55500,3.6
Sarawak,Subis,2024,other_citizen,400,55500,0.72
Sarawak,Subis,2024,indian,0,55500,0.0
Sarawak,Sri Aman,2024,bumi_other,38600,61300,62.97
Sarawak,Sri Aman,2024,bumi_malay,14400,61300,23.49
Sarawak,Sri Aman,2024,chinese,7200,61300,11.75
Sarawak,Sri Aman,2024,other_noncitizen,1000,61300,1.63
Sarawak,Sri Aman,2024,other_citizen,100,61300,0.16
Sarawak,Sri Aman,2024,indian,0,61300,0.0
Sarawak,Song,2024,bumi_other,9300,10300,90.29
Sarawak,Song,2024,bumi_malay,500,10300,4.85
Sarawak,Song,2024,chinese,500,10300,4.85
Sarawak,Song,2024,indian,0,10300,0.0
Sarawak,Song,2024,other_citizen,0,10300,0.0
Sarawak,Song,2024,other_noncitizen,0,10300,0.0
Sarawak,Simunjan,2024,bumi_malay,20200,37100,54.45
Sarawak,Simunjan,2024,bumi_other,13700,37100,36.93
