state,district,date,ethnicity,population
Selangor,Petaling,2024,bumi_malay,1120800
Selangor,Ulu Langat,2024,bumi_malay,835300
Selangor,Petaling,2024,chinese,762700
Selangor,Gombak,2024,bumi_malay,581300
Selangor,Klang,2024,bumi_malay,554700
Selangor,Ulu Langat,2024,chinese,363000
Selangor,Klang,2024,chinese,251300
Selangor,Kuala Selangor,2024,bumi_malay,231400
Selangor,Petaling,2024,other_noncitizen,224600
Selangor,Petaling,2024,indian,211900
Selangor,Sepang,2024,bumi_malay,211100
Selangor,Kuala Langat,2024,bumi_malay,209600
Selangor,Gombak,2024,chinese,200700
Selangor,Klang,2024,indian,190800
Selangor,Ulu Selangor,2024,bumi_malay,177300
Selangor,Ulu Langat,2024,other_noncitizen,177000
Selangor,Klang,2024,other_noncitizen,154100
Selangor,Ulu Langat,2024,indian,106700
Selangor,Gombak,2024,indian,96000
Selangor,Sabak Bernam,2024,bumi_malay,80900
Selangor,Gombak,2024,other_noncitizen,78400
Selangor,Sepang,2024,chinese,59300
Selangor,Kuala Langat,2024,chinese,54600
Selangor,Sepang,2024,other_noncitizen,36000
Selangor,Kuala Langat,2024,indian,32500
Selangor,Sepang,2024,indian,31200
Selangor,Ulu Selangor,2024,indian,31100
Selangor,Kuala Selangor,2024,indian,26500
Selangor,Ulu Selangor,2024,chinese,25700
Selangor,Petaling,2024,bumi_other,22700
Selangor,Kuala Selangor,2024,chinese,21800
Selangor,Sabak Bernam,2024,chinese,19900
Selangor,Kuala Langat,2024,other_noncitizen,19600
Selangor,Ulu Selangor,2024,other_noncitizen,17400
Selangor,Petaling,2024,other_citizen,17300
Selangor,Kuala Selangor,2024,other_noncitizen,16500
Selangor,Klang,2024,bumi_other,16000
Selangor,Ulu Langat,2024,bumi_other,15900
Selangor,Gombak,2024,other_citizen,15500
Selangor,Ulu Langat,2024,other_citizen,10200
Selangor,Kuala Langat,2024,bumi_other,8900
Selangor,Gombak,2024,bumi_other,8300
Selangor,Klang,2024,other_citizen,8000
Selangor,Sepang,2024,bumi_other,6300
Selangor,Ulu Selangor,2024,bumi_other,5400
Selangor,Sabak Bernam,2024,other_noncitizen,5000
Selangor,Sabak Bernam,2024,indian,4000
Selangor,Sepang,2024,other_citizen,3000
Selangor,Ulu Selangor,2024,other_citizen,1300
Selangor,Kuala Selangor,2024,bumi_other,1300
Selangor,Kuala Langat,2024,other_citizen,1100
Selangor,Kuala Selangor,2024,other_citizen,900
Selangor,Sabak Bernam,2024,bumi_other,300
Selangor,Sabak Bernam,2024,other_citizen,300
