state,district,date,sex,age,ethnicity,population
Johor,Batu Pahat,2020,both,overall,overall,495300
Johor,Batu Pahat,2020,both,overall,bumi_malay,311300
Johor,Batu Pahat,2020,both,overall,bumi_other,5100
Johor,Batu Pahat,2020,both,overall,chinese,140100
Johor,Batu Pahat,2020,both,overall,indian,6900
Johor,Batu Pahat,2020,both,overall,other_citizen,1800
Johor,Batu Pahat,2020,both,overall,other_noncitizen,30200
Johor,Batu Pahat,2020,both,0-4,overall,30300
Johor,Batu Pahat,2020,both,0-4,bumi_malay,21300
Johor,Batu Pahat,2020,both,0-4,bumi_other,500
Johor,Batu Pahat,2020,both,0-4,chinese,8200
Johor,Batu Pahat,2020,both,0-4,indian,300
Johor,Batu Pahat,2020,both,0-4,other_citizen,0
Johor,Batu Pahat,2020,both,0-4,other_noncitizen,100
Johor,Batu Pahat,2020,both,5-9,overall,35600
Johor,Batu Pahat,2020,both,5-9,bumi_malay,24400
Johor,Batu Pahat,2020,both,5-9,bumi_other,400
Johor,Batu Pahat,2020,both,5-9,chinese,10300
Johor,Batu Pahat,2020,both,5-9,indian,400
Johor,Batu Pahat,2020,both,5-9,other_citizen,100
Johor,Batu Pahat,2020,both,5-9,other_noncitizen,100
Johor,Batu Pahat,2020,both,10-14,overall,40000
Johor,Batu Pahat,2020,both,10-14,bumi_malay,26900
Johor,Batu Pahat,2020,both,10-14,bumi_other,400
Johor,Batu Pahat,2020,both,10-14,chinese,12100
Johor,Batu Pahat,2020,both,10-14,indian,500
Johor,Batu Pahat,2020,both,10-14,other_citizen,100
Johor,Batu Pahat,2020,both,10-14,other_noncitizen,0
Johor,Batu Pahat,2020,both,15-19,overall,45000
Johor,Batu Pahat,2020,both,15-19,bumi_malay,30200
Johor,Batu Pahat,2020,both,15-19,bumi_other,600
Johor,Batu Pahat,2020,both,15-19,chinese,11600
Johor,Batu Pahat,2020,both,15-19,indian,700
Johor,Batu Pahat,2020,both,15-19,other_citizen,500
Johor,Batu Pahat,2020,both,15-19,other_noncitizen,1500
Johor,Batu Pahat,2020,both,20-24,overall,49000
Johor,Batu Pahat,2020,both,20-24,bumi_malay,29400
Johor,Batu Pahat,2020,both,20-24,bumi_other,400
Johor,Batu Pahat,2020,both,20-24,chinese,12100
Johor,Batu Pahat,2020,both,20-24,indian,600
Johor,Batu Pahat,2020,both,20-24,other_citizen,300
Johor,Batu Pahat,2020,both,20-24,other_noncitizen,6100
Johor,Batu Pahat,2020,both,25-29,overall,45300
Johor,Batu Pahat,2020,both,25-29,bumi_malay,26400
Johor,Batu Pahat,2020,both,25-29,bumi_other,300
Johor,Batu Pahat,2020,both,25-29,chinese,11300
Johor,Batu Pahat,2020,both,25-29,indian,600
Johor,Batu Pahat,2020,both,25-29,other_citizen,100
Johor,Batu Pahat,2020,both,25-29,other_noncitizen,6600
Johor,Batu Pahat,2020,both,30-34,overall,43100
Johor,Batu Pahat,2020,both,30-34,bumi_malay,26700
Johor,Batu Pahat,2020,both,30-34,bumi_other,500
Johor,Batu Pahat,2020,both,30-34,chinese,10800
Johor,Batu Pahat,2020,both,30-34,indian,600
Johor,Batu Pahat,2020,both,30-34,other_citizen,100
Johor,Batu Pahat,2020,both,30-34,other_noncitizen,4400
Johor,Batu Pahat,2020,both,35-39,overall,40400
Johor,Batu Pahat,2020,both,35-39,bumi_malay,25400
Johor,Batu Pahat,2020,both,35-39,bumi_other,600
Johor,Batu Pahat,2020,both,35-39,chinese,10700
Johor,Batu Pahat,2020,both,35-39,indian,700
Johor,Batu Pahat,2020,both,35-39,other_citizen,100
Johor,Batu Pahat,2020,both,35-39,other_noncitizen,3100
Johor,Batu Pahat,2020,both,40-44,overall,32700
Johor,Batu Pahat,2020,both,40-44,bumi_malay,19500
Johor,Batu Pahat,2020,both,40-44,bumi_other,400
Johor,Batu Pahat,2020,both,40-44,chinese,10000
Johor,Batu Pahat,2020,both,40-44,indian,600
Johor,Batu Pahat,2020,both,40-44,other_citizen,200
Johor,Batu Pahat,2020,both,40-44,other_noncitizen,2100
Johor,Batu Pahat,2020,both,45-49,overall,29700
Johor,Batu Pahat,2020,both,45-49,bumi_malay,17600
